SO,Fase,Variable_o_Escenario,Valor_o_Latencia,Jitter_ms,Perdida_pct,TLS,Iteracion,time_connect,time_appconnect,handshake_ms,time_total,http_code,status
macOS,Parametro,Latencia,100,0,0,tls12,34,0.116514,0.382427,265.913,0.830059,200,OK
macOS,Parametro,Latencia,100,0,0,tls12,35,0.112401,0.370504,258.103,0.797526,200,OK
macOS,Parametro,Latencia,100,0,0,tls12,36,0.111703,0.373058,261.355,0.812131,200,OK
macOS,Parametro,Latencia,100,0,0,tls12,37,0.11376,0.368597,254.837,0.798581,200,OK
macOS,Parametro,Latencia,100,0,0,tls12,38,0.113951,0.376907,262.956,0.8202,200,OK
macOS,Parametro,Latencia,100,0,0,tls12,39,0.113165,0.367287,254.122,0.899584,200,OK
macOS,Parametro,Latencia,100,0,0,tls12,40,0.111562,0.373425,261.863,0.817505,200,OK
macOS,Parametro,Latencia,100,0,0,tls12,41,0.112249,0.366691,254.442,0.780696,200,OK
macOS,Parametro,Latencia,100,0,0,tls12,42,0.113324,0.368641,255.317,0.792064,200,OK
macOS,Parametro,Latencia,100,0,0,tls12,43,0.112433,0.366753,254.32,0.90049,200,OK
macOS,Parametro,Latencia,100,0,0,tls12,44,0.112285,0.369907,257.622,0.805719,200,OK
macOS,Parametro,Latencia,100,0,0,tls12,45,0.112368,0.367631,255.263,0.805734,200,OK
macOS,Parametro,Latencia,100,0,0,tls12,46,0.112421,0.369447,257.026,0.782158,200,OK
macOS,Parametro,Latencia,100,0,0,tls12,47,0.111854,0.381917,270.063,0.817896,200,OK
macOS,Parametro,Latencia,100,0,0,tls12,48,0.111802,0.373667,261.865,0.803017,200,OK
macOS,Parametro,Latencia,100,0,0,tls12,49,0.118055,0.371209,253.154,0.814942,200,OK
macOS,Parametro,Latencia,100,0,0,tls12,50,0.112435,0.366023,253.588,0.913077,200,OK
macOS,Parametro,Latencia,200,0,0,tls12,1,0.211652,0.672385,460.733,1.502911,200,OK
macOS,Parametro,Latencia,200,0,0,tls12,2,0.212238,0.673517,461.279,1.381111,200,OK
macOS,Parametro,Latencia,200,0,0,tls12,3,0.213033,0.671613,458.58,1.40386,200,OK
macOS,Parametro,Latencia,200,0,0,tls12,4,0.219257,0.675633,456.376,1.39574,200,OK
macOS,Parametro,Latencia,200,0,0,tls12,5,0.213796,0.668522,454.726,1.399555,200,OK
macOS,Parametro,Latencia,200,0,0,tls12,6,0.213276,0.673765,460.489,1.410023,200,OK
macOS,Parametro,Latencia,200,0,0,tls12,7,0.221005,0.678462,457.457,1.407048,200,OK
macOS,Parametro,Latencia,200,0,0,tls12,8,0.213336,0.677153,463.817,1.414625,200,OK
macOS,Parametro,Latencia,200,0,0,tls12,9,0.259152,0.721772,462.62,1.459596,200,OK
macOS,Parametro,Latencia,200,0,0,tls12,10,0.211339,0.667197,455.858,1.522909,200,OK
macOS,Parametro,Latencia,200,0,0,tls12,11,0.238521,0.697205,458.684,1.49083,200,OK
macOS,Parametro,Latencia,200,0,0,tls12,12,0.210978,0.693665,482.687,1.532471,200,OK
macOS,Parametro,Latencia,200,0,0,tls12,13,0.215668,0.686579,470.911,1.573705,200,OK
macOS,Parametro,Latencia,200,0,0,tls12,14,0.21746,0.677981,460.521,1.45791,200,OK
macOS,Parametro,Latencia,200,0,0,tls12,15,0.21436,0.729065,514.705,1.610419,200,OK
macOS,Parametro,Latencia,200,0,0,tls12,16,0.212181,0.66884,456.659,1.435844,200,OK
macOS,Parametro,Latencia,200,0,0,tls12,17,0.21401,0.731227,517.217,1.618088,200,OK
macOS,Parametro,Latencia,200,0,0,tls12,18,0.215019,0.671374,456.355,1.453121,200,OK
macOS,Parametro,Latencia,200,0,0,tls12,19,0.211644,0.726802,515.158,1.549735,200,OK
macOS,Parametro,Latencia,200,0,0,tls12,20,0.212063,0.70876,496.697,1.599075,200,OK
macOS,Parametro,Latencia,200,0,0,tls12,21,0.217852,0.674502,456.65,1.445021,200,OK
macOS,Parametro,Latencia,200,0,0,tls12,22,0.213927,0.727416,513.489,1.543823,200,OK
macOS,Parametro,Latencia,200,0,0,tls12,23,0.220872,0.71048,489.608,1.532899,200,OK
macOS,Parametro,Latencia,200,0,0,tls12,24,0.211944,0.711006,499.062,1.71575,200,OK
macOS,Parametro,Latencia,200,0,0,tls12,25,0.275289,0.8005,525.211,1.541151,200,OK
macOS,Parametro,Latencia,200,0,0,tls12,26,0.288544,0.806651,518.107,1.685626,200,OK
macOS,Parametro,Latencia,200,0,0,tls12,27,0.211942,0.667403,455.461,1.593569,200,OK
macOS,Parametro,Latencia,200,0,0,tls12,28,0.258079,0.797036,538.957,1.678482,200,OK
macOS,Parametro,Latencia,200,0,0,tls12,29,0.212434,0.684755,472.321,1.490743,200,OK
macOS,Parametro,Latencia,200,0,0,tls12,30,0.213361,0.72535,511.989,1.542743,200,OK
macOS,Parametro,Latencia,200,0,0,tls12,31,0.212195,0.736276,524.081,1.726375,200,OK
macOS,Parametro,Latencia,200,0,0,tls12,32,0.299144,0.830465,531.321,1.585966,200,OK
macOS,Parametro,Latencia,200,0,0,tls12,33,0.223142,0.690462,467.32,1.439683,200,OK
macOS,Parametro,Latencia,200,0,0,tls12,34,0.22151,0.674233,452.723,1.528447,200,OK
macOS,Parametro,Latencia,200,0,0,tls12,35,0.212219,0.704384,492.165,1.438103,200,OK
macOS,Parametro,Latencia,200,0,0,tls12,36,0.212921,0.675026,462.105,1.386627,200,OK
macOS,Parametro,Latencia,200,0,0,tls12,37,0.214938,0.682334,467.396,1.910767,200,OK
macOS,Parametro,Latencia,200,0,0,tls12,38,0.215375,0.671935,456.56,1.404359,200,OK
macOS,Parametro,Latencia,200,0,0,tls12,39,0.211556,0.66874,457.184,1.505746,200,OK
macOS,Parametro,Latencia,200,0,0,tls12,40,0.21066,0.676209,465.549,1.397779,200,OK
macOS,Parametro,Latencia,200,0,0,tls12,41,0.214801,0.68032,465.519,1.412583,200,OK
macOS,Parametro,Latencia,200,0,0,tls12,42,0.211984,0.667867,455.883,1.419508,200,OK
macOS,Parametro,Latencia,200,0,0,tls12,43,0.212842,0.671969,459.127,1.502648,200,OK
macOS,Parametro,Latencia,200,0,0,tls12,44,0.213881,0.670308,456.427,1.385968,200,OK
macOS,Parametro,Latencia,200,0,0,tls12,45,0.212468,0.670722,458.254,1.416675,200,OK
macOS,Parametro,Latencia,200,0,0,tls12,46,0.214381,0.669302,454.921,1.397498,200,OK
macOS,Parametro,Latencia,200,0,0,tls12,47,0.223209,0.68372,460.511,1.419969,200,OK
macOS,Parametro,Latencia,200,0,0,tls12,48,0.21267,0.673627,460.957,1.508786,200,OK
